"","plusGiftdate","plusGiftname","plusGiftstore","plusGiftprice","plusGiftmanuf"
"1","18394","진가쭈꾸미짬뽕","GS리테일","3,900","심쿡"
"2","18394",NA,"GS리테일","9,900","팩"
"3","18394","감바스170G","GS리테일","6,900","심쿡"
"4","18394","동파육200G","GS리테일","6,900","심쿡"
"5","18394","불난마늘족발180G","GS리테일","6,900","심쿡"
"6","18394","모서리족발400G","GS리테일","7,500","유어스"
"7","18394",NA,"GS리테일","6,900",NA
"8","18394","헛개파워100ML","GS리테일","4,500","광동"
